Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             1.992167                            1.992167
Epoch11                             0.000000                            1.992167
Epoch12                             0.000000                            1.992167
Epoch13                             0.000000                            1.992167
Epoch14                             0.000000                            1.992167
Epoch15                             0.000000                            1.992167
Epoch16                             0.000000                            1.992167
Epoch17                             0.000000                            1.992167
Epoch18                             0.000000                            1.992167
Epoch19                             0.000000                            1.992167
Epoch20                             0.000000                            1.992167
Epoch21                             0.000000                            1.992167
Epoch22                             0.000000                            1.992167
Epoch23                             0.000000                            1.992167
Epoch24                             0.000000                            1.992167
Epoch25                             0.000000                            1.992167
Epoch26                             0.000000                            1.992167
Epoch27                             0.000000                            1.992167
Epoch28                             0.000000                            1.992167
Epoch29                             0.000000                            1.992167
