Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                            838.344409                          838.344409
Epoch8                              0.000000                          838.344409
Epoch9                              0.000000                          838.344409
Epoch10                             0.000000                          838.344409
Epoch11                             0.000000                          838.344409
Epoch12                             0.000000                          838.344409
Epoch13                             0.000000                          838.344409
Epoch14                             0.000000                          838.344409
Epoch15                             0.000000                          838.344409
Epoch16                             0.000000                          838.344409
Epoch17                             0.000000                          838.344409
