Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              5.591446                            5.591446
Epoch2                              0.000000                            5.591446
Epoch3                              0.000000                            5.591446
Epoch4                              0.000000                            5.591446
Epoch5                              0.000000                            5.591446
Epoch6                              0.000000                            5.591446
Epoch7                              0.000000                            5.591446
Epoch8                              0.000000                            5.591446
Epoch9                              0.000000                            5.591446
Epoch10                             0.000000                            5.591446
Epoch11                             0.000000                            5.591446
Epoch12                             0.000000                            5.591446
Epoch13                             0.000000                            5.591446
Epoch14                             0.000000                            5.591446
Epoch15                             0.000000                            5.591446
