Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.875684                          310.875684
Epoch1                              0.000000                          310.875684
Epoch2                              0.000000                          310.875684
Epoch3                              0.000000                          310.875684
Epoch4                              0.000000                          310.875684
Epoch5                              0.000000                          310.875684
Epoch6                              0.000000                          310.875684
Epoch7                              0.000000                          310.875684
Epoch8                              0.000000                          310.875684
Epoch9                              0.000000                          310.875684
Epoch10                             0.000000                          310.875684
Epoch11                             0.000000                          310.875684
Epoch12                             0.000000                          310.875684
Epoch13                             0.000000                          310.875684
Epoch14                             0.000000                          310.875684
Epoch15                             0.000000                          310.875684
Epoch16                             0.000000                          310.875684
Epoch17                             0.000000                          310.875684
Epoch18                             0.000000                          310.875684
Epoch19                             0.000000                          310.875684
Epoch20                             0.000000                          310.875684
Epoch21                             0.000000                          310.875684
Epoch22                             0.000000                          310.875684
Epoch23                             0.000000                          310.875684
Epoch24                             0.000000                          310.875684
Epoch25                             0.000000                          310.875684
Epoch26                             0.000000                          310.875684
Epoch27                             0.000000                          310.875684
Epoch28                             0.000000                          310.875684
