Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             0.000000                            0.000000
Epoch11                             0.000000                            0.000000
Epoch12                             0.000000                            0.000000
Epoch13                             0.000000                            0.000000
Epoch14                             0.000000                            0.000000
Epoch15                             0.000000                            0.000000
Epoch16                            87.519981                           87.519981
Epoch17                           314.262729                          401.782709
Epoch18                             0.000000                          401.782709
Epoch19                             0.000000                          401.782709
Epoch20                             0.000000                          401.782709
Epoch21                             0.000000                          401.782709
Epoch22                             0.000000                          401.782709
Epoch23                             0.000000                          401.782709
Epoch24                             0.000000                          401.782709
Epoch25                             0.000000                          401.782709
Epoch26                             0.000000                          401.782709
Epoch27                             0.000000                          401.782709
Epoch28                             0.000000                          401.782709
Epoch29                             0.000000                          401.782709
Epoch30                             0.000000                          401.782709
Epoch31                             0.000000                          401.782709
