Epoch#                               Rewards                   Total(Cumulative)
Epoch0                            310.807737                          310.807737
Epoch1                              0.015937                          310.823674
Epoch2                              0.000000                          310.823674
Epoch3                              0.000000                          310.823674
Epoch4                              0.000000                          310.823674
Epoch5                              0.000000                          310.823674
Epoch6                              0.000000                          310.823674
Epoch7                              0.000000                          310.823674
Epoch8                              0.000000                          310.823674
Epoch9                              0.000000                          310.823674
Epoch10                             0.000000                          310.823674
Epoch11                             0.000000                          310.823674
Epoch12                             0.000000                          310.823674
Epoch13                             0.000000                          310.823674
Epoch14                             0.000000                          310.823674
Epoch15                             0.000000                          310.823674
Epoch16                             0.000000                          310.823674
Epoch17                             0.000000                          310.823674
Epoch18                             0.000000                          310.823674
Epoch19                             0.000000                          310.823674
Epoch20                             0.000000                          310.823674
Epoch21                             0.000000                          310.823674
Epoch22                             0.000000                          310.823674
Epoch23                             0.000000                          310.823674
Epoch24                             0.000000                          310.823674
Epoch25                             0.000000                          310.823674
Epoch26                             0.000000                          310.823674
Epoch27                             0.000000                          310.823674
