Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              0.000000                            0.000000
Epoch6                              0.000000                            0.000000
Epoch7                              0.000000                            0.000000
Epoch8                              0.000000                            0.000000
Epoch9                              0.000000                            0.000000
Epoch10                             0.000000                            0.000000
Epoch11                             0.000000                            0.000000
Epoch12                             0.000000                            0.000000
Epoch13                             0.000000                            0.000000
Epoch14                             0.000000                            0.000000
Epoch15                             0.000000                            0.000000
Epoch16                             0.000000                            0.000000
Epoch17                             0.000000                            0.000000
Epoch18                             0.000000                            0.000000
Epoch19                             0.000000                            0.000000
Epoch20                             1.625385                            1.625385
Epoch21                             0.000000                            1.625385
Epoch22                            46.201249                           47.826634
Epoch23                            42.595798                           90.422432
Epoch24                             0.000000                           90.422432
Epoch25                             0.000000                           90.422432
Epoch26                             0.000000                           90.422432
Epoch27                             0.000000                           90.422432
Epoch28                             0.000000                           90.422432
Epoch29                             0.000000                           90.422432
Epoch30                             0.000000                           90.422432
Epoch31                             0.000000                           90.422432
