Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.300938                            0.300938
Epoch3                              0.167387                            0.468325
Epoch4                              0.000000                            0.468325
Epoch5                              0.000000                            0.468325
Epoch6                              0.000000                            0.468325
Epoch7                              0.000000                            0.468325
Epoch8                              0.000000                            0.468325
Epoch9                              0.000000                            0.468325
Epoch10                             0.000000                            0.468325
Epoch11                             0.000000                            0.468325
Epoch12                             0.000000                            0.468325
Epoch13                             0.000000                            0.468325
Epoch14                             0.000000                            0.468325
Epoch15                             0.000000                            0.468325
Epoch16                             0.000000                            0.468325
Epoch17                             0.000000                            0.468325
Epoch18                             0.000000                            0.468325
Epoch19                             0.000000                            0.468325
Epoch20                             0.000000                            0.468325
Epoch21                             0.000000                            0.468325
Epoch22                             0.000000                            0.468325
Epoch23                             0.000000                            0.468325
Epoch24                             0.000000                            0.468325
Epoch25                             0.000000                            0.468325
Epoch26                             0.000000                            0.468325
Epoch27                             0.000000                            0.468325
Epoch28                             0.000000                            0.468325
