Epoch#                               Rewards                   Total(Cumulative)
Epoch0                              0.000000                            0.000000
Epoch1                              0.000000                            0.000000
Epoch2                              0.000000                            0.000000
Epoch3                              0.000000                            0.000000
Epoch4                              0.000000                            0.000000
Epoch5                              2.289831                            2.289831
Epoch6                              0.000000                            2.289831
Epoch7                              0.000000                            2.289831
Epoch8                              0.000000                            2.289831
Epoch9                              0.000000                            2.289831
Epoch10                             0.000000                            2.289831
Epoch11                             0.000000                            2.289831
Epoch12                             0.000000                            2.289831
Epoch13                             0.000000                            2.289831
Epoch14                             0.000000                            2.289831
